Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
55,55,D2 11:30,D2 11:45,0.0,0.0,0.0,236.41842021364602,236.41842021364602,4.79,6.197811632491283,5.000311632491283
56,56,D2 11:45,D2 12:00,0.0,0.0,0.0,236.41842021364602,236.41842021364602,4.71,5.000311632491283,3.822811632491283
57,57,D2 12:00,D2 12:15,0.0,1.3610890277322767,3.597122599785507e-14,236.41842021364602,236.06023889055857,0.0,3.822811632491283,4.163083889424352
58,58,D2 12:15,D2 12:30,0.0,8.0,0.0,236.06023889055857,233.95497573266383,0.0,4.163083889424352,6.163083889424352
59,59,D2 12:30,D2 12:45,0.0,8.0,1.2434497875801753e-14,233.95497573266383,231.8497125747691,0.0,6.163083889424352,8.163083889424353
60,60,D2 12:45,D2 13:00,0.0,0.0,0.0,231.8497125747691,231.8497125747691,0.0,8.163083889424353,8.163083889424353
61,61,D2 13:00,D2 13:15,0.0,2.6293067294737753,0.0,231.8497125747691,231.15778975122336,0.0,8.163083889424353,8.820410571792797
62,62,D2 13:15,D2 13:30,0.0,0.0,0.0,231.15778975122336,231.15778975122336,0.0,8.820410571792797,8.820410571792797
63,63,D2 13:30,D2 13:45,0.0,8.0,0.0,231.15778975122336,229.05252659332862,0.0,8.820410571792797,10.820410571792797
64,64,D2 13:45,D2 14:00,0.0,6.761362573004732,0.0,229.05252659332862,227.27322065306421,0.0,10.820410571792797,12.51075121504398
65,65,D2 14:00,D2 14:15,0.0,0.0,-1.1368683772161603e-13,227.27322065306421,227.27322065306424,0.0,12.51075121504398,12.51075121504398
66,66,D2 14:15,D2 14:30,0.0,0.0,0.0,227.27322065306424,227.27322065306424,4.79,12.51075121504398,11.31325121504398
67,67,D2 14:30,D2 14:45,0.0,0.0,0.0,227.27322065306424,227.27322065306424,4.79,11.31325121504398,10.11575121504398
68,68,D2 14:45,D2 15:00,0.0,0.0,0.0,227.27322065306424,227.27322065306424,3.16,10.11575121504398,9.32575121504398
