day,gstep,k,clock,price,co2,grid_kW,dch_kW,work_kW,soe_mcs,soe_cev1,soe_cev2,mcs_node,est_dig,est_load,est_trv,est_idle,unc_dig,unc_load,unc_trv,unc_idle,n_obs
2,42,2,D2 08:15,0.387,0.18748346,0.0,8.000000000000004,0.0,245.39473684210526,7.478688936911368,NaN,2,4.799969955404325,3.0519978487074595,4.759214848145813,0.029051314259332703,0.07408665493878361,0.11563119366720777,0.14219667265568917,0.02407252107205181,42
2,43,3,D2 08:30,0.387,0.187221003,0.0,-1.7408297026122455e-13,4.79,245.39473684210532,6.281188936911325,NaN,2,4.799969955404325,3.0519978487074595,4.759214848145813,0.029051314259332703,0.07408665493878361,0.11563119366720777,0.14219667265568917,0.02407252107205181,43
2,44,4,D2 08:45,0.387,0.174390042,0.0,0.0,3.16,245.39473684210535,5.491188936911325,NaN,2,4.799969955404325,3.0519978487074595,4.759214848145813,0.029051314259332703,0.07408665493878361,0.11563119366720777,0.14219667265568917,0.02407252107205181,44
2,45,5,D2 09:00,0.387,0.169646374,0.0,0.0,4.79,245.39473684210535,4.293688936911325,NaN,2,4.799969955404325,3.0519978487074595,4.759214848145813,0.029051314259332703,0.07408665493878361,0.11563119366720777,0.14219667265568917,0.02407252107205181,45
2,46,6,D2 09:15,0.387,0.179379949,0.0,8.0,0.0,243.2894736842106,6.293688936911325,NaN,2,4.799969955404325,3.0519978487074595,4.759214848145813,0.029051314259332703,0.07408665493878361,0.11563119366720777,0.14219667265568917,0.02407252107205181,46
2,47,7,D2 09:30,0.387,0.173308146,0.0,0.0,4.71,243.2894736842106,5.116188936911325,NaN,2,4.799969955404325,3.0519978487074595,4.759214848145813,0.029051314259332703,0.07408665493878361,0.11563119366720777,0.14219667265568917,0.02407252107205181,47
2,48,8,D2 09:45,0.387,0.169005444,0.0,8.0,0.0,241.1842105263159,7.116188936911325,NaN,2,4.791911303636259,3.0840706681926915,4.75073178731466,0.027713959765527603,0.06974504754118312,0.10192254276085577,0.12348080220812817,0.02137520314584143,48
2,49,9,D2 10:00,0.261,0.166717776,0.0,0.0,4.79,241.1842105263159,5.918688936911325,NaN,2,4.791911303636259,3.0840706681926915,4.75073178731466,0.027713959765527603,0.06974504754118312,0.10192254276085577,0.12348080220812817,0.02137520314584143,49
2,50,10,D2 10:15,0.261,0.171203448,0.0,0.0,4.79,241.18421052631592,4.721188936911325,NaN,2,4.791911303636259,3.0840706681926915,4.75073178731466,0.027713959765527603,0.06974504754118312,0.10192254276085577,0.12348080220812817,0.02137520314584143,50
2,51,11,D2 10:30,0.261,0.169740242,0.0,0.0,4.79,241.18421052631592,3.5236889369113253,NaN,2,4.791911303636259,3.0840706681926915,4.75073178731466,0.027713959765527603,0.06974504754118312,0.10192254276085577,0.12348080220812817,0.02137520314584143,51
2,52,12,D2 10:45,0.261,0.157205795,0.0,8.0,0.0,239.0789473684212,5.523688936911325,NaN,2,4.791911303636259,3.0840706681926915,4.75073178731466,0.027713959765527603,0.06974504754118312,0.10192254276085577,0.12348080220812817,0.02137520314584143,52
