Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A1R_minus_A0_cum_kWh,A2R_minus_A0_cum_kWh
74,02:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
75,02:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
76,02:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
77,03:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
78,03:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
79,03:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
80,03:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
81,04:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
82,04:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
83,04:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
84,04:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
85,05:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
86,05:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
87,05:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
88,05:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
89,06:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
90,06:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
91,06:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
92,06:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
93,07:00,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
94,07:15,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
95,07:30,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
96,07:45,0.0,25.079473684210523,0.0,Idle,Charging (grid),0.0,25.586718866180764,0.0,Idle,Charging (grid),0.0,26.93081406661143,0.0,Idle,Charging (grid),0.5072451819702408,1.851340382400906
