"VIN","Machine name","Event time","Battery (%)"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:47:13","58"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:47:14","58"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:47:23","59"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:47:26","58"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:47:27","58"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:47:45","58"
"JCB8GFB1PP3248768","11009663","04/02/2026 16:48:51","58"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:02:23","56"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:08:34","54"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:08:35","54"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:14:08","54"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:14:14","54"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:14:16","54"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:14:35","54"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:15:42","54"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:22:00","52"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:22:02","52"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:33:35","52"
"JCB8GFB1PP3248768","11009663","04/02/2026 17:37:02","52"
"JCB8GFB1PP3248768","11009663","05/02/2026 05:37:05","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 05:37:06","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 05:37:25","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 05:39:00","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 05:39:01","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 05:39:09","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 05:39:21","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:11:37","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:11:38","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:11:57","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:14:06","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:14:08","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:14:09","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:14:25","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:14:28","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:15:16","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:15:28","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:15:34","100"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:27:02","97"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:27:03","97"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:44:28","97"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:44:30","97"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:44:41","97"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:44:50","97"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:45:44","96"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:45:50","96"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:45:56","94"
"JCB8GFB1PP3248768","11009663","05/02/2026 09:59:27","93"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:02:17","93"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:02:24","93"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:14:27","91"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:29:27","89"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:44:27","87"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:44:39","87"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:52:59","87"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:53:01","87"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:58:46","87"
"JCB8GFB1PP3248768","11009663","05/02/2026 10:59:05","87"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:00:10","87"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:11:58","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:12:00","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:24:02","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:24:04","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:24:17","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:24:36","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:25:42","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:25:48","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:25:50","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:34:08","86"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:34:11","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:34:30","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:35:36","85"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:37:21","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 11:37:23","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:22:21","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:22:30","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:22:40","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:22:56","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:23:22","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:47:44","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:47:46","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:48:01","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:48:02","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:48:03","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:48:20","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:48:48","84"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:49:20","83"
"JCB8GFB1PP3248768","11009663","05/02/2026 12:49:26","83"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:02:57","80"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:04:22","79"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:04:24","79"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:54:13","80"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:54:15","79"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:54:29","79"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:54:35","79"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:55:16","79"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:55:34","79"
"JCB8GFB1PP3248768","11009663","05/02/2026 13:55:41","79"
"JCB8GFB1PP3248768","11009663","05/02/2026 14:09:12","78"
"JCB8GFB1PP3248768","11009663","05/02/2026 14:24:12","78"
"JCB8GFB1PP3248768","11009663","05/02/2026 14:24:37","77"
"JCB8GFB1PP3248768","11009663","05/02/2026 14:24:38","77"
