Time_Period,CEV_1_A0_kWh,CEV_1_A1R_kWh,CEV_1_A2R_kWh
278,14.8,14.8,14.799999999999986
279,14.8,14.8,14.799999999999986
280,14.8,14.8,14.799999999999986
281,14.8,14.8,14.799999999999986
282,14.8,14.8,14.799999999999986
283,14.8,14.8,14.799999999999986
284,14.8,14.8,14.799999999999986
285,14.8,14.8,14.799999999999986
286,14.8,14.8,14.799999999999986
287,14.8,14.8,14.799999999999986
288,14.8,14.8,14.799999999999986
289,14.8,14.8,14.799999999999986
290,13.5411630027303,13.5411630027303,13.541163002730286
291,12.383133219254603,12.383133219254603,12.383133219254589
292,14.353158219254603,14.383133219254603,11.11126360505927
293,13.081288605059283,13.111263605059284,10.036976636190046
294,12.00700163619006,12.419733180442913,12.036976636190046
295,14.00700163619006,11.21658258042691,10.833826036174043
296,12.803851036174057,13.166275000000704,9.573985841865657
297,14.8,12.09198803113148,8.384685888671294
298,13.540159805691614,14.09198803113148,7.235312033988161
299,12.350859852497251,12.832147836823093,9.235312033988162
300,11.201485997814117,11.64284788362873,7.98697824554469
301,13.201485997814117,13.469575000000003,6.717521398230032
302,11.953152209370646,12.320201145316869,5.567636298096277
303,10.683695362055987,11.05074429800221,4.282953228162084
304,9.533810261922232,10.2189749199954,6.282953228162084
305,8.24912719198804,8.970641131551929,5.075024329351825
306,10.24912719198804,10.970641131551929,5.075024329351825
307,12.24912719198804,10.970641131551929,5.075024329351825
308,14.104602191988038,12.8,7.075024329351825
309,14.104602191988038,14.8,8.026214349163174
310,14.104602191988038,14.8,10.026214349163174
311,14.104602191988038,14.8,10.026214349163174
312,14.104602191988038,14.8,11.11065138176585
313,14.104602191988038,14.8,13.11065138176585
314,12.896673293177779,13.650114899866246,11.923085722687297
315,11.709107634099226,12.365431829932053,10.731277327568094
316,13.709107634099226,12.365431829932053,10.039746902951723
317,12.517299238980023,11.17362343481285,9.207977524944914
318,11.825768814363652,10.381478300019266,9.225870332759833
319,10.993999436356843,9.173549401209007,8.433725197966249
320,10.201854301563259,7.985983742130454,7.615934965170146
321,12.201854301563259,8.346475000000002,6.484093373312952
322,11.384064068767156,7.528684767203899,8.484093373312952
323,10.252222476909962,6.396843175346705,7.711036322481339
324,9.47916542607835,5.623786124515092,6.851174432969219
325,8.619303536566228,4.763924235002972,8.8
326,10.619303536566228,4.763924235002972,10.8
327,12.619303536566228,4.800000000000002,12.8
328,14.61930353656623,6.800000000000002,14.8
329,14.61930353656623,8.8,14.8
330,14.61930353656623,10.8,14.8
331,14.61930353656623,12.8,14.8
332,14.61930353656623,14.8,14.8
333,14.61930353656623,14.8,14.8
334,14.61930353656623,14.8,14.8
335,14.61930353656623,14.8,14.8
336,14.61930353656623,14.8,14.8
337,14.61930353656623,14.8,14.8
338,14.61930353656623,14.8,14.8
339,14.61930353656623,14.8,14.8
340,14.61930353656623,14.8,14.8
341,14.61930353656623,14.8,14.8
342,14.61930353656623,14.8,14.8
343,14.61930353656623,14.8,14.8
344,14.61930353656623,14.8,14.8
345,14.61930353656623,14.8,14.8
346,14.61930353656623,14.8,14.8
347,14.61930353656623,14.8,14.8
348,14.61930353656623,14.8,14.8
349,14.61930353656623,14.8,14.8
350,14.61930353656623,14.8,14.8
351,14.61930353656623,14.8,14.8
352,14.61930353656623,14.8,14.8
353,14.61930353656623,14.8,14.8
354,14.61930353656623,14.8,14.8
355,14.61930353656623,14.8,14.8
356,14.61930353656623,14.8,14.8
357,14.61930353656623,14.8,14.8
358,14.61930353656623,14.8,14.8
359,14.61930353656623,14.8,14.8
360,14.61930353656623,14.8,14.8
361,14.61930353656623,14.8,14.8
362,14.61930353656623,14.8,14.8
363,14.61930353656623,14.8,14.8
364,14.61930353656623,14.8,14.8
365,14.61930353656623,14.8,14.8
366,14.61930353656623,14.8,14.8
367,14.61930353656623,14.8,14.8
368,14.61930353656623,14.8,14.8
369,14.61930353656623,14.8,14.8
370,14.61930353656623,14.8,14.8
371,14.61930353656623,14.8,14.8
372,14.61930353656623,14.8,14.8
373,14.61930353656623,14.8,14.8
374,14.61930353656623,14.8,14.8
375,14.61930353656623,14.8,14.8
376,14.61930353656623,14.8,14.8
377,14.61930353656623,14.8,14.8
378,14.61930353656623,14.8,14.8
379,14.61930353656623,14.8,14.8
380,14.61930353656623,14.8,14.8
381,14.61930353656623,14.8,14.8
382,14.61930353656623,14.8,14.8
383,14.61930353656623,14.8,14.8
384,14.61930353656623,14.8,14.8
385,14.61930353656623,14.8,14.8
386,13.440417886528556,13.621114349962326,13.621114349962326
387,12.378716295378794,12.559412758812565,12.559412758812565
388,11.155538911352995,14.559412758812565,11.77116600969279
389,9.974152908616492,13.336235374786765,10.54798862566699
390,9.974152908616492,12.154849372050263,10.54798862566699
391,11.974152908616492,14.154849372050263,9.303947699303986
392,13.974152908616492,12.910808445687259,8.122561696567484
393,12.730111982253487,14.8,6.846901049330233
394,11.454451335016236,13.52433935276275,8.846901049330233
395,10.255821367511256,12.736092603642975,7.6482710818252535
396,9.091338487381556,11.537462636137995,6.483788201695553
397,11.091338487381556,13.537462636137997,8.483788201695553
398,9.874969872615265,12.372979756008297,7.3740348643146465
399,8.765216535234359,11.26322641862739,6.157666249548356
400,7.48294745371358,10.0468578038611,4.875397168027577
401,6.24743703860473,9.273534441117052,3.639886752918727
402,8.24743703860473,11.273534441117052,5.639886752918727
403,10.24743703860473,11.273534441117052,7.639886752918727
404,12.24743703860473,11.273534441117052,9.639886752918727
405,14.24743703860473,13.106150000000001,9.639886752918727
406,14.76443350203851,13.106150000000001,9.639886752918727
407,14.76443350203851,13.106150000000001,10.8
408,14.76443350203851,14.8,10.8
409,14.76443350203851,14.8,12.8
410,13.567446554187216,13.517730918479222,11.603013052148706
411,12.413624056922396,12.282220503370372,10.487776373903973
412,14.413624056922338,12.709900000000001,9.333953876639132
413,13.298387378677605,11.594663321755268,11.333953876639132
414,12.51014062955783,10.780237306806423,10.560630513895084
415,11.736817266813702,9.583250358955128,9.74620449894624
416,10.922391251864857,8.429427861690288,8.954909033009391
417,12.922391251864848,10.346475,7.6038411581791365
418,12.131095785928,9.555179534063152,9.603841158179137
419,10.780027911097745,8.204111659232897,8.838431316127323
420,10.014618069045932,7.438701817181085,8.020120210511857
421,9.196306963430466,6.620390711565619,10.020120210511857
422,11.196306963430466,6.800000000000001,12.020120210511857
423,13.196306963430466,8.8,14.020120210511857
424,14.685506963430594,10.8,14.8
425,14.685506963430594,12.8,14.8
426,14.685506963430594,14.8,14.8
427,14.685506963430594,14.8,14.8
428,14.685506963430594,14.8,14.8
429,14.685506963430594,14.8,14.8
430,14.685506963430594,14.8,14.8
431,14.685506963430594,14.8,14.8
432,14.685506963430594,14.8,14.8
433,14.685506963430594,14.8,14.8
434,14.685506963430594,14.8,14.8
435,14.685506963430594,14.8,14.8
436,14.685506963430594,14.8,14.8
437,14.685506963430594,14.8,14.8
438,14.685506963430594,14.8,14.8
439,14.685506963430594,14.8,14.8
440,14.685506963430594,14.8,14.8
441,14.685506963430594,14.8,14.8
442,14.685506963430594,14.8,14.8
443,14.685506963430594,14.8,14.8
444,14.685506963430594,14.8,14.8
445,14.685506963430594,14.8,14.8
446,14.685506963430594,14.8,14.8
447,14.685506963430594,14.8,14.8
448,14.685506963430594,14.8,14.8
449,14.685506963430594,14.8,14.8
450,14.685506963430594,14.8,14.8
451,14.685506963430594,14.8,14.8
452,14.685506963430594,14.8,14.8
453,14.685506963430594,14.8,14.8
454,14.685506963430594,14.8,14.8
455,14.685506963430594,14.8,14.8
456,14.685506963430594,14.8,14.8
457,14.685506963430594,14.8,14.8
458,14.685506963430594,14.8,14.8
459,14.685506963430594,14.8,14.8
460,14.685506963430594,14.8,14.8
461,14.685506963430594,14.8,14.8
462,14.685506963430594,14.8,14.8
463,14.685506963430594,14.8,14.8
464,14.685506963430594,14.8,14.8
465,14.685506963430594,14.8,14.8
466,14.685506963430594,14.8,14.8
467,14.685506963430594,14.8,14.8
468,14.685506963430594,14.8,14.8
469,14.685506963430594,14.8,14.8
470,14.685506963430594,14.8,14.8
471,14.685506963430594,14.8,14.8
472,14.685506963430594,14.8,14.8
473,14.685506963430594,14.8,14.8
474,14.685506963430594,14.8,14.8
475,14.685506963430594,14.8,14.8
476,14.685506963430594,14.8,14.8
477,14.685506963430594,14.8,14.8
478,14.685506963430594,14.8,14.8
479,14.685506963430594,14.8,14.8
480,14.685506963430594,14.8,14.8
481,14.685506963430594,14.8,14.8
