params,run_id,macro_acc,net_weighted_accuracy,avg_prod,stopped_early,stop_reason,videos_evaluated,total_videos,video_details
"{'min_activity_duration_s': 3.0, 'dist_threshold': 0.6, 'idle_window': 48, 'fsm_min_dwell_seconds': 1.5, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_14325,0.7932274409709734,0.7929912416500863,122.3129631199215,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7533876017532875, 'prod': 146.03616133518776, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8041984038791797, 'prod': 49.234365867913496, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8220963172804533, 'prod': 171.66836215666328, 'len': 17670}]"
"{'min_activity_duration_s': 1.5, 'dist_threshold': 0.35, 'idle_window': 80, 'fsm_min_dwell_seconds': 2.0, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_8449,0.7963151055906916,0.792956297480415,142.91728704175355,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7713587977457733, 'prod': 187.67667094023696, 'len': 83027}, {'video': 'Day_3', 'acc': 0.79832306293565, 'prod': 65.01643529450271, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8192634560906515, 'prod': 176.05875489052096, 'len': 17670}]"
"{'min_activity_duration_s': 1.2, 'dist_threshold': 0.15, 'idle_window': 30, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_5813,0.7894869563312161,0.7929465971794831,135.702352251373,True,Net running avg (79.3%) fell below Top-15 threshold (85.9%),3,11,"[{'video': 'Day_2', 'acc': 0.7653350031308703, 'prod': 187.67377201112143, 'len': 83027}, {'video': 'Day_3', 'acc': 0.8015961208202849, 'prod': 61.863768780072654, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.801529745042493, 'prod': 157.56951596292484, 'len': 17670}]"
"{'min_activity_duration_s': 2.5, 'dist_threshold': 0.5, 'idle_window': 36, 'fsm_min_dwell_seconds': 1.0, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_12303,0.7922628839801008,0.7929404355385558,148.35402541548294,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7484283030682529, 'prod': 198.1429410128851, 'len': 83027}, {'video': 'Day_3', 'acc': 0.805754116577432, 'prod': 61.86087615200101, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8226062322946176, 'prod': 185.0582590815627, 'len': 17670}]"
"{'min_activity_duration_s': 2.5, 'dist_threshold': 0.5, 'idle_window': 36, 'fsm_min_dwell_seconds': 1.5, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_12307,0.7922628839801008,0.7929404355385558,148.35402541548294,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7484283030682529, 'prod': 198.1429410128851, 'len': 83027}, {'video': 'Day_3', 'acc': 0.805754116577432, 'prod': 61.86087615200101, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8226062322946176, 'prod': 185.0582590815627, 'len': 17670}]"
"{'min_activity_duration_s': 2.5, 'dist_threshold': 0.5, 'idle_window': 36, 'fsm_min_dwell_seconds': 2.0, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_12311,0.7922628839801008,0.7929404355385558,148.35402541548294,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7484283030682529, 'prod': 198.1429410128851, 'len': 83027}, {'video': 'Day_3', 'acc': 0.805754116577432, 'prod': 61.86087615200101, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8226062322946176, 'prod': 185.0582590815627, 'len': 17670}]"
"{'min_activity_duration_s': 2.5, 'dist_threshold': 0.5, 'idle_window': 36, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_12315,0.7922628839801008,0.7929404355385558,148.35402541548294,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7484283030682529, 'prod': 198.1429410128851, 'len': 83027}, {'video': 'Day_3', 'acc': 0.805754116577432, 'prod': 61.86087615200101, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8226062322946176, 'prod': 185.0582590815627, 'len': 17670}]"
"{'min_activity_duration_s': 2.5, 'dist_threshold': 0.5, 'idle_window': 36, 'fsm_min_dwell_seconds': 3.0, 'enable_fsm': False, 'override_travelling_only': True}",PARAM_SET_12319,0.7922628839801008,0.7929404355385558,148.35402541548294,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7484283030682529, 'prod': 198.1429410128851, 'len': 83027}, {'video': 'Day_3', 'acc': 0.805754116577432, 'prod': 61.86087615200101, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8226062322946176, 'prod': 185.0582590815627, 'len': 17670}]"
"{'min_activity_duration_s': 5.0, 'dist_threshold': 0.4, 'idle_window': 36, 'fsm_min_dwell_seconds': 2.5, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_19333,0.7950369341187976,0.7929336413849215,87.54766799436611,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7707827175954916, 'prod': 122.95461562210559, 'len': 83027}, {'video': 'Day_3', 'acc': 0.7987473482169917, 'prod': 37.87843360986149, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8155807365439094, 'prod': 101.8099547511312, 'len': 17670}]"
"{'min_activity_duration_s': 3.5, 'dist_threshold': 0.3, 'idle_window': 40, 'fsm_min_dwell_seconds': 3.0, 'enable_fsm': True, 'override_travelling_only': True}",PARAM_SET_15397,0.7921707357701737,0.7929314420454321,99.21553301625086,True,Net running avg (79.3%) fell below Top-15 threshold (86.6%),3,11,"[{'video': 'Day_2', 'acc': 0.7728115216030056, 'prod': 141.72134311076803, 'len': 83027}, {'video': 'Day_3', 'acc': 0.7988281644610566, 'prod': 44.82176509373524, 'len': 247510}, {'video': 'Day_4_1', 'acc': 0.8048725212464589, 'prod': 111.10349084424936, 'len': 17670}]"
