#################### C01_baseline_1cev ####################
  #      Clock  CEV1 || MCS
 16      D1 11:45 Digging | Loading/Swinging || Idle
 17-18   D1 12:00 Idle | Idle || Idle
 19-20   D1 12:30 Charging | Idle || Serving CEV
 21-23   D1 13:00 Idle | Idle || Idle
 24      D1 13:45 Charging | Idle || Serving CEV
 25      D1 14:00 Charging | Loading/Swinging || Serving CEV
 26      D1 14:15 Loading/Swinging | Traveling || Idle
 27      D1 14:30 Loading/Swinging | Idle || Traveling
 28-32   D1 14:45 Idle | Idle || Idle
 33-36   D1 16:00 Idle | Charging || Serving CEV
 37      D1 17:00 Idle | Idle || Traveling
 38-40   D1 17:15 Idle | Idle || Idle

#################### C11_cheap_flat_easy ####################
  #      Clock  CEV1 | CEV2 | CEV3 || MCS
  1      D1 08:00 Idle | Digging | Digging || Idle
  2      D1 08:15 Digging | Digging | Digging || Idle
  3-4    D1 08:30 Digging | Digging | Digging || Traveling
  5      D1 09:00 Charging | Idle | Idle || Serving CEV
  6      D1 09:15 Digging | Traveling | Traveling || Traveling
  7      D1 09:30 Traveling | Digging | Digging || Idle
  8      D1 09:45 Digging | Idle | Charging || Serving CEV
  9      D1 10:00 Digging | Digging | Digging || Traveling
 10      D1 10:15 Idle | Charging | Digging || Serving CEV
 11      D1 10:30 Digging | Digging | Loading/Swinging || Idle
 12      D1 10:45 Loading/Swinging | Loading/Swinging | Traveling || Idle
 13      D1 11:00 Traveling | Traveling | Idle || Idle
 14      D1 11:15 Loading/Swinging | Idle | Loading/Swinging || Idle
 15      D1 11:30 Idle | Loading/Swinging | Loading/Swinging || Idle
 16      D1 11:45 Loading/Swinging | Digging | Loading/Swinging || Idle
 17-18   D1 12:00 Idle | Idle | Idle || Idle
 19-20   D1 12:30 Idle | Charging | Idle || Serving CEV
 21      D1 13:00 Idle | Idle | Idle || Idle
 22      D1 13:15 Idle | Charging | Idle || Serving CEV
 23-24   D1 13:30 Idle | Idle | Idle || Idle
 25      D1 14:00 Loading/Swinging | Loading/Swinging | Idle || Idle
 26      D1 14:15 Digging | Charging | Digging || Serving CEV
 27      D1 14:30 Traveling | Charging | Idle || Serving CEV
 28      D1 14:45 Idle | Loading/Swinging | Idle || Traveling
 29      D1 15:00 Idle | Idle | Charging || Serving CEV
 30      D1 15:15 Idle | Idle | Idle || Idle
 31-32   D1 15:30 Idle | Idle | Charging || Serving CEV
 33      D1 16:00 Idle | Idle | Idle || Traveling
 34      D1 16:15 Idle | Idle | Idle || Idle
 35-38   D1 16:30 Charging | Idle | Idle || Serving CEV
 39      D1 17:30 Idle | Idle | Idle || Traveling
 40      D1 17:45 Idle | Idle | Idle || Idle

